City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
411,Oktyabrskiy,RU,54.4815,53.471,49.89,80,100,6.42,overcast clouds
412,Nikolayevskaya,RU,47.6139,41.5023,51.93,90,17,6.93,few clouds
413,Pombas,CV,17.1503,-25.0201,71.38,81,68,8.34,broken clouds
414,Masindi,UG,1.6744,31.715,63.03,94,100,2.13,overcast clouds
415,Surt,LY,31.2089,16.5887,61.79,78,39,9.95,scattered clouds
416,Shagonar,RU,51.5333,92.8,28.02,61,9,0.92,clear sky
417,Abu Samrah,SY,35.3029,37.1841,70.95,35,0,13.04,clear sky
418,Saint-Augustin,CA,51.226,-58.6502,37.33,93,100,18.21,overcast clouds
419,Gavle,SE,60.6745,17.1417,29.35,51,14,1.99,few clouds
420,San Cristobal,VE,7.7669,-72.225,69.98,93,73,1.97,broken clouds
421,Khandyga,RU,62.6667,135.6,26.08,83,93,0.94,overcast clouds
422,Bam,IR,29.106,58.357,78.1,21,29,7.47,scattered clouds
423,La Rioja,ES,42.25,-2.5,38.98,73,71,3.83,broken clouds
424,Taoudenni,ML,22.6783,-3.9836,80.76,23,0,12.46,clear sky
425,Paamiut,GL,61.994,-49.6678,31.08,93,100,10.98,overcast clouds
426,Prachuap Khiri Khan,TH,12.2167,99.75,80.69,84,15,2.95,few clouds
427,Uvira,CD,-3.4067,29.1458,72.45,84,91,0.49,light rain
428,Emirdag,TR,39.0197,31.15,61.18,39,4,3.74,clear sky
429,Belaya Gora,RU,68.5333,146.4167,15.44,90,100,5.06,overcast clouds
430,Praxedis Guerrero,MX,31.3667,-106.0167,80.06,10,0,16.51,clear sky
431,Chililabombwe,ZM,-12.3648,27.8229,60.24,94,35,3.38,scattered clouds
432,Kasongo-Lunda,CD,-6.4667,16.8167,70.99,95,100,1.72,light rain
433,Ayagoz,KZ,47.9714,80.4392,30.7,52,85,12.28,overcast clouds
434,Fort-Shevchenko,KZ,44.5086,50.263,57.79,59,25,12.39,scattered clouds
