City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Prince Albert,CA,2022-04-20 20:19:06,53.2001,-105.7677,35.55,75,40,20.71
123,Listvyagi,RU,2022-04-20 20:19:07,53.6772,86.951,32.32,80,100,3.76
124,Havoysund,NO,2022-04-20 20:19:08,70.9963,24.6622,41.23,92,11,9.82
125,Ushibuka,JP,2022-04-20 20:19:08,32.1906,130.0228,62.62,77,100,8.7
126,Northam,GB,2022-04-20 20:19:09,51.0333,-4.2167,55.62,76,22,4.76
127,Tatarsk,RU,2022-04-20 20:19:10,55.219,75.9828,40.86,74,97,4.74
128,Najran,SA,2022-04-20 20:19:10,17.4924,44.1277,79.45,20,66,0.2
129,Kranjska Gora,SI,2022-04-20 20:19:11,46.4839,13.7894,41.9,89,60,3.62
130,Norman Wells,CA,2022-04-20 20:19:12,65.282,-126.8329,32.04,34,0,4.61
131,Pangnirtung,CA,2022-04-20 20:19:12,66.1451,-65.7125,19.4,49,75,6.91
132,Oil City,US,2022-04-20 20:19:13,41.4339,-79.7064,56.07,31,0,4.61
133,Constitucion,CL,2022-04-20 20:19:14,-35.3333,-72.4167,60.19,57,5,14.92
134,Kenai,US,2022-04-20 20:19:15,60.5544,-151.2583,47.03,40,0,6.91
135,Oktyabrskiy,RU,2022-04-20 20:19:15,54.4815,53.471,44.82,89,100,5.99
136,Tall Kayf,TR,2022-04-20 20:19:16,37.0833,41.0667,57.24,49,0,6.89
137,Pithiviers,FR,2022-04-20 20:19:17,48.1667,2.25,57.81,68,100,8.41
138,Nouadhibou,MR,2022-04-20 20:20:17,20.931,-17.0347,66.18,77,16,16.11
139,Kodiak,US,2022-04-20 20:18:32,57.79,-152.4072,44.11,57,100,6.91
140,Iqaluit,CA,2022-04-20 20:20:19,63.7506,-68.5145,20.93,79,100,2.3
141,Lorengau,PG,2022-04-20 20:20:20,-2.0226,147.2712,82.15,73,68,11.12
142,Talnakh,RU,2022-04-20 20:20:20,69.4865,88.3972,-2.92,91,46,4.09
143,Westport,US,2022-04-20 20:20:21,41.1415,-73.3579,60.1,32,0,10.36
144,Mangit,UZ,2022-04-20 20:20:22,40.5971,70.9607,63.19,71,88,10.6
145,Kazachinskoye,RU,2022-04-20 20:20:23,57.6953,93.2761,34.97,98,100,4.5
146,Las Lomas,PA,2022-04-20 20:20:23,8.4333,-82.4,74.61,94,75,3.44
147,Kavieng,PG,2022-04-20 20:20:24,-2.5744,150.7967,82.69,75,81,14.47
148,Dakar,SN,2022-04-20 20:20:25,14.6937,-17.4441,72.48,94,0,9.22
149,Kasempa,ZM,2022-04-20 20:20:25,-13.4584,25.8338,60.87,98,2,4.09
150,Avera,US,2022-04-20 20:20:26,33.194,-82.5271,73.54,40,56,10.25
151,Inhambane,MZ,2022-04-20 20:20:27,-23.865,35.3833,73.11,86,100,13.04
152,Fortuna,US,2022-04-20 20:20:27,40.5982,-124.1573,55.74,96,75,11.5
153,Vao,NC,2022-04-20 20:20:28,-22.6667,167.4833,74.7,72,2,7.16
154,Jalu,LY,2022-04-20 20:20:29,29.0331,21.5482,69.08,21,0,7.81
155,Soto La Marina,MX,2022-04-20 20:20:29,23.7667,-98.2167,83.77,48,95,21.47
156,Cap Malheureux,MU,2022-04-20 20:20:30,-19.9842,57.6142,77.47,88,100,1.99
157,Suoyarvi,RU,2022-04-20 20:20:30,62.0833,32.35,37.36,90,100,6.2
158,Aswan,EG,2022-04-20 20:20:31,24.0934,32.907,74.01,18,5,14.99
159,Salalah,OM,2022-04-20 20:20:31,17.0151,54.0924,82.49,74,75,4.61
160,East London,ZA,2022-04-20 20:16:57,-33.0153,27.9116,69.22,83,0,9.75
161,Severo-Kurilsk,RU,2022-04-20 20:20:32,50.6789,156.125,33.75,92,64,9.71
162,Bonthe,SL,2022-04-20 20:20:33,7.5264,-12.505,80.53,80,16,6.51
163,Esperance,AU,2022-04-20 20:20:34,-33.8667,121.9,59.63,76,85,7.61
164,Tsiroanomandidy,MG,2022-04-20 20:20:34,-18.7667,46.0333,74.07,67,92,3.96
165,Yarmouth,US,2022-04-20 20:20:35,41.7057,-70.2286,59.14,44,0,13.8
166,Barnstaple,GB,2022-04-20 20:20:35,51.0802,-4.0581,56.21,76,42,4.43
167,Guerrero Negro,MX,2022-04-20 20:20:36,27.9769,-114.0611,69.15,58,79,20.29
168,Mar Del Plata,AR,2022-04-20 20:17:25,-38.0023,-57.5575,64.42,94,20,6.91
169,Kenora,CA,2022-04-20 20:20:37,49.8167,-94.4337,32.97,100,100,10.0
170,Aketi,CD,2022-04-20 20:20:37,2.7388,23.7833,73.22,89,99,2.04
171,Cherskiy,RU,2022-04-20 20:20:38,68.75,161.3,15.49,84,98,4.16
172,Sitka,US,2022-04-20 20:20:39,57.0531,-135.33,51.69,54,20,8.05
173,Port Elizabeth,ZA,2022-04-20 20:20:39,-33.918,25.5701,69.31,74,0,3.0
174,Narsaq,GL,2022-04-20 20:20:40,60.9167,-46.05,39.42,47,55,3.09
175,Saint-Pierre,RE,2022-04-20 20:20:40,-21.3393,55.4781,76.68,83,20,4.61
176,Maniitsoq,GL,2022-04-20 20:20:41,65.4167,-52.9,21.74,55,97,3.22
177,Baghdad,IQ,2022-04-20 20:17:04,33.3406,44.4009,75.11,23,75,11.5
178,Ilulissat,GL,2022-04-20 20:20:42,69.2167,-51.1,15.82,45,2,8.05
179,Chicama,PE,2022-04-20 20:20:43,-7.8447,-79.1469,68.54,58,15,10.54
180,Alanya,TR,2022-04-20 20:20:43,36.5438,31.9998,62.73,76,28,2.21
